iter	Accuracy	MultiClass
171	0.86175	0.3492698866
172	0.86205	0.348758417
173	0.8621125	0.348476192
174	0.862575	0.347844022
175	0.8627625	0.3474825148
176	0.8633125	0.3466925277
177	0.8635625	0.3464152594
178	0.86375	0.3461252352
179	0.8641	0.3453588761
180	0.8646	0.3447448627
181	0.864925	0.3443173741
182	0.865075	0.3434262264
183	0.865575	0.3428314575
184	0.865925	0.3424524282
185	0.8662375	0.3418900649
186	0.8663875	0.3415280329
187	0.866525	0.341212863
188	0.8670375	0.3405883967
189	0.8672375	0.339993679
190	0.867375	0.3397798411
191	0.8674125	0.3393673451
192	0.8681	0.3383982962
193	0.8682375	0.3380316872
194	0.8683625	0.3374440467
195	0.868925	0.3364245462
196	0.86905	0.3361136556
197	0.869375	0.3353883128
198	0.8694	0.3349604501
199	0.8693625	0.3345441173
200	0.8698625	0.3340272042
201	0.8699625	0.3335561294
202	0.8702875	0.3329607278
203	0.8706375	0.3324925549
204	0.8709375	0.3318964039
205	0.8710875	0.3315876258
206	0.87155	0.331171389
207	0.8718375	0.3306883094
208	0.871975	0.3303184527
